Opportunity_ID,Opportunity_Fiscal_Period_ID,Opportunity_Open_Date_DT,Opportunity_Last_Updated_Date_DT,Opportunity_Close_Date_DT,Opportunity_Business_ID,Opportunity_Business_Name,Opportunity_Business_Line_ID,Opportunity_Business_Line_Group_ID,Opportunity_Offering_Amount,Opportunity_Estimated_Revenue,Opportunity_Estimated_Net_Sales_Revenue,Opportunity_Lead_Pursuit_Partner,Opportunity_Lead,Opportunity_Team,Opportunity_Probability_Win,Opportunity_Top_Priority,Opportunity_Stage_ID,Opportunity_Stage_Description,Year,Acitve / Inacitve 
OPP20150023,FP2015,2015-08-02 10:06,2015-10-10 14:03,,InIn0039,InnovativeServices,Insurance,Risk Management,190853.19,155777.5,30105.09,EMP085,"[""'EMP085'"", ""'EMP061'"", ""'EMP108'"", ""'EMP047'"", ""'EMP009'""]","['EMP007', 'EMP047', 'EMP108', 'EMP009', 'EMP008', 'EMP085', 'EMP092', 'EMP061', 'EMP023']",0.3576,0,2,Proposal,2015,Active
OPP20150024,FP2015,2015-07-16 00:27,2015-07-30 04:25,,GlCr0053,GlobalConcepts,Credit,Finance,209017.07,163025.46,27733.86,EMP098,"[""'EMP098'"", ""'EMP036'"", ""'EMP119'""]","['EMP082', 'EMP047', 'EMP091', 'EMP073', 'EMP036', 'EMP119', 'EMP098']",0.3424,0,2,Proposal,2015,Active
OPP20150025,FP2015,2015-03-28 12:48,2015-10-24 10:45,,CrVe0087,CreativeVentures,Venture Capital,Investment,216341.53,187904.6,20563.04,EMP085,"[""'EMP085'"", ""'EMP036'"", ""'EMP132'""]","['EMP083', 'EMP050', 'EMP085', 'EMP132', 'EMP007', 'EMP075', 'EMP079', 'EMP036']",0.3148,0,3,Negotiation,2015,Active
OPP20150026,FP2015,2015-09-13 01:49,2015-11-01 17:32,,GeEq0049,GeoDynamics,Equity,Finance,182699.66,159209.05,26735.7,EMP098,"[""'EMP098'"", ""'EMP085'"", ""'EMP117'""]","['EMP017', 'EMP085', 'EMP086', 'EMP093', 'EMP117', 'EMP098', 'EMP082']",0.2565,0,2,Proposal,2015,Active
OPP20150027,FP2015,2015-01-24 11:55,2015-05-01 02:50,,SmTr0028,SmartDynamics,Treasury,Finance,198816.94,172897.19,33424.47,EMP023,"[""'EMP023'"", ""'EMP092'"", ""'EMP069'""]","['EMP091', 'EMP021', 'EMP069', 'EMP092', 'EMP023', 'EMP100']",0.4029,0,1,Qualifying,2015,Active
OPP20150028,FP2015,2015-01-05 00:19,2015-07-16 18:36,2015-10-13 11:40,TeAn0082,TechAnalytics,Analytics,Technology,194176.89,156280.7,10106.91,EMP036,"[""'EMP036'"", ""'EMP072'"", ""'EMP132'"", ""'EMP069'""]","['EMP132', 'EMP072', 'EMP069', 'EMP036', 'EMP040', 'EMP075', 'EMP054']",0.8443,0,4,Closed-Won,2015,Inactive
OPP20150029,FP2015,2015-12-14 10:22,2015-12-22 20:00,,WeIn0081,WebDynamics,Insurance,Risk Management,222473.65,173718.27,24871.43,EMP069,"[""'EMP069'"", ""'EMP001'"", ""'EMP002'"", ""'EMP031'"", ""'EMP119'""]","['EMP002', 'EMP087', 'EMP081', 'EMP001', 'EMP083', 'EMP031', 'EMP119', 'EMP069', 'EMP090', 'EMP058']",0.5498,0,1,Qualifying,2015,Active
OPP20150030,FP2015,2015-10-04 17:43,2015-10-16 05:13,2015-11-28 03:17,GeTr0061,GeoServices,Treasury,Finance,197250.13,140838.26,9994.15,EMP036,"[""'EMP036'"", ""'EMP085'"", ""'EMP031'""]","['EMP020', 'EMP036', 'EMP090', 'EMP093', 'EMP081', 'EMP031', 'EMP085', 'EMP057']",0.538,0,4,Closed-Won,2015,Inactive
OPP20150031,FP2015,2015-03-30 14:20,2015-11-01 05:42,,DaCo0017,DataServices,Compliance,Legal,221473.79,161573.35,31468.71,EMP036,"[""'EMP036'"", ""'EMP025'"", ""'EMP117'"", ""'EMP009'"", ""'EMP048'""]","['EMP016', 'EMP117', 'EMP097', 'EMP025', 'EMP009', 'EMP007', 'EMP093', 'EMP036', 'EMP048', 'EMP073']",0.4632,0,1,Qualifying,2015,Active
OPP20150032,FP2015,2015-10-03 05:41,2015-10-11 19:51,,SmAn0016,SmartAnalytics,Analytics,Technology,183032.45,140404.12,10586.04,EMP023,"[""'EMP023'"", ""'EMP036'"", ""'EMP117'""]","['EMP059', 'EMP039', 'EMP117', 'EMP036', 'EMP097', 'EMP091', 'EMP023']",0.5153,0,1,Qualifying,2015,Active
OPP20150033,FP2015,2015-10-26 03:29,2015-11-29 06:53,2015-12-30 14:22,CrAn0003,CreativeAnalytics,Analytics,Technology,194637.22,149613.42,12050.33,EMP085,"[""'EMP085'"", ""'EMP118'"", ""'EMP048'"", ""'EMP017'"", ""'EMP072'""]","['EMP048', 'EMP118', 'EMP072', 'EMP085', 'EMP069', 'EMP096', 'EMP017', 'EMP039', 'EMP051', 'EMP032']",0.7369,0,4,Closed-Lost,2015,Inactive
OPP20150034,FP2015,2015-07-08 09:28,2015-09-30 03:27,,InCo0040,InnovativeConcepts,Compliance,Legal,201036.67,150438.03,29620.19,EMP023,"[""'EMP023'"", ""'EMP098'"", ""'EMP110'""]","['EMP023', 'EMP098', 'EMP110', 'EMP086', 'EMP060', 'EMP035', 'EMP072', 'EMP059']",0.6613,0,2,Proposal,2015,Active
OPP20150035,FP2015,2015-10-14 01:21,2015-11-26 09:05,,BiBi0026,BioHoldings,Biotechnology,Healthcare,190098.93,155489.32,20725.81,EMP036,"[""'EMP036'"", ""'EMP061'"", ""'EMP085'""]","['EMP068', 'EMP082', 'EMP085', 'EMP036', 'EMP088', 'EMP053', 'EMP061', 'EMP045']",0.8679,0,1,Qualifying,2015,Active
OPP20150036,FP2015,2015-07-24 10:19,2015-11-20 15:12,,WeTr0007,WebConcepts,Treasury,Finance,201736.76,181533.96,12250.6,EMP069,"[""'EMP069'"", ""'EMP099'"", ""'EMP036'""]","['EMP092', 'EMP089', 'EMP036', 'EMP099', 'EMP040', 'EMP069']",0.6275,0,2,Proposal,2015,Active
OPP20150037,FP2015,2015-08-08 08:07,2015-10-28 20:57,,NeWe0100,NetHoldings,Wealth Management,Investment,196115.13,167617.86,30157.84,EMP085,"[""'EMP085'"", ""'EMP072'"", ""'EMP059'"", ""'EMP017'"", ""'EMP025'""]","['EMP068', 'EMP098', 'EMP013', 'EMP095', 'EMP025', 'EMP017', 'EMP080', 'EMP085', 'EMP072', 'EMP059']",0.7569,0,3,Negotiation,2015,Active
OPP20150038,FP2015,2015-04-14 00:07,2015-10-11 12:39,,InCr0030,InfoTechnology,Credit,Finance,212394.93,190451.4,12919.75,EMP023,"[""'EMP023'"", ""'EMP072'"", ""'EMP114'"", ""'EMP119'"", ""'EMP069'""]","['EMP037', 'EMP114', 'EMP023', 'EMP040', 'EMP098', 'EMP072', 'EMP096', 'EMP119', 'EMP069']",0.5707,0,2,Proposal,2015,Active
OPP20150039,FP2015,2015-07-04 20:33,2015-11-13 20:58,,SeCo0012,SecureTechnology,Compliance,Legal,186175.58,166672.79,18376.21,EMP098,"[""'EMP098'"", ""'EMP083'"", ""'EMP048'""]","['EMP023', 'EMP035', 'EMP080', 'EMP048', 'EMP037', 'EMP083', 'EMP087', 'EMP098']",0.3616,0,3,Negotiation,2015,Active
OPP20150040,FP2015,2015-12-17 21:41,2015-12-28 01:13,,DaCo0036,DataDynamics,Compliance,Legal,192048.0,167545.08,27432.0,EMP083,"[""'EMP083'"", ""'EMP072'"", ""'EMP116'"", ""'EMP025'"", ""'EMP098'""]","['EMP010', 'EMP072', 'EMP098', 'EMP116', 'EMP088', 'EMP036', 'EMP025', 'EMP020', 'EMP083']",0.4988,0,3,Negotiation,2015,Active
OPP20150041,FP2015,2015-03-21 22:02,2015-08-09 04:48,,GlMo0046,GlobalSolutions,Mortgages,Banking,214229.52,169543.76,9386.18,EMP069,"[""'EMP069'"", ""'EMP001'"", ""'EMP114'"", ""'EMP002'"", ""'EMP083'""]","['EMP005', 'EMP002', 'EMP075', 'EMP001', 'EMP083', 'EMP091', 'EMP088', 'EMP098', 'EMP114', 'EMP069']",0.5679,0,1,Qualifying,2015,Active
OPP20150042,FP2015,2015-09-11 00:15,2015-12-10 17:04,,InDe0064,InnovativeHoldings,Deposits,Banking,206688.53,174707.3,17416.63,EMP083,"[""'EMP083'"", ""'EMP085'"", ""'EMP114'""]","['EMP009', 'EMP031', 'EMP085', 'EMP051', 'EMP050', 'EMP114', 'EMP083', 'EMP067']",0.4048,0,2,Proposal,2015,Active
OPP20150043,FP2015,2015-09-10 09:18,2015-11-13 15:38,,BiAn0051,BioAnalytics,Analytics,Technology,206505.58,155756.92,26328.39,EMP036,"[""'EMP036'"", ""'EMP085'"", ""'EMP048'""]","['EMP040', 'EMP085', 'EMP036', 'EMP077', 'EMP095', 'EMP100', 'EMP048']",0.6971,0,2,Proposal,2015,Active
OPP20150044,FP2015,2015-01-13 14:11,2015-04-22 05:43,2015-05-08 13:08,TeMo0018,TechConcepts,Mortgages,Banking,190015.48,135391.2,9840.85,EMP069,"[""'EMP069'"", ""'EMP036'"", ""'EMP108'""]","['EMP063', 'EMP095', 'EMP108', 'EMP036', 'EMP014', 'EMP069']",0.6938,0,4,Closed-Won,2015,Inactive
OPP20150045,FP2015,2015-01-01 00:22,2015-10-24 06:11,2015-12-02 17:54,BiBi0047,BioTechnology,Biotechnology,Healthcare,208037.35,186399.9,30852.77,EMP098,"[""'EMP098'"", ""'EMP117'"", ""'EMP001'"", ""'EMP025'"", ""'EMP023'""]","['EMP096', 'EMP098', 'EMP069', 'EMP079', 'EMP087', 'EMP001', 'EMP076', 'EMP025', 'EMP117', 'EMP023']",0.5283,0,4,Closed-Won,2015,Inactive
OPP20150046,FP2015,2015-05-03 14:37,2015-06-28 02:34,2015-09-27 00:47,InVe0029,InnovativeVentures,Venture Capital,Investment,186832.97,165751.94,23163.4,EMP069,"[""'EMP069'"", ""'EMP083'"", ""'EMP025'""]","['EMP083', 'EMP021', 'EMP069', 'EMP060', 'EMP025', 'EMP079', 'EMP013']",0.4246,0,4,Closed-Lost,2015,Inactive
OPP20150047,FP2015,2015-12-07 21:37,2015-12-17 17:01,,SmCr0065,SmartServices,Credit,Finance,180485.23,145721.0,14287.79,EMP098,"[""'EMP098'"", ""'EMP023'"", ""'EMP092'""]","['EMP075', 'EMP065', 'EMP023', 'EMP019', 'EMP092', 'EMP031', 'EMP098']",0.343,0,1,Qualifying,2015,Active
OPP20150048,FP2015,2015-01-22 06:40,2015-07-11 21:29,,CrAn0037,CreativeAnalytics,Analytics,Technology,215526.58,155060.95,18449.35,EMP098,"[""'EMP098'"", ""'EMP009'"", ""'EMP072'"", ""'EMP110'"", ""'EMP116'""]","['EMP009', 'EMP110', 'EMP072', 'EMP098', 'EMP021', 'EMP085', 'EMP116', 'EMP024', 'EMP096', 'EMP075']",0.4164,0,2,Proposal,2015,Active
OPP20150049,FP2015,2015-01-06 01:34,2015-07-24 19:01,,GlAn0056,GlobalAnalytics,Analytics,Technology,212088.63,178738.41,27037.56,EMP085,"[""'EMP085'"", ""'EMP017'"", ""'EMP059'"", ""'EMP042'"", ""'EMP083'""]","['EMP007', 'EMP042', 'EMP017', 'EMP077', 'EMP085', 'EMP059', 'EMP083', 'EMP032']",0.9461,0,3,Negotiation,2015,Active
OPP20150050,FP2015,2015-04-20 12:43,2015-10-07 17:33,,BiBi0086,BioSystems,Biotechnology,Healthcare,194313.41,156156.08,9066.43,EMP036,"[""'EMP036'"", ""'EMP085'"", ""'EMP040'""]","['EMP087', 'EMP036', 'EMP085', 'EMP084', 'EMP040', 'EMP068']",0.9275,0,1,Qualifying,2015,Active
OPP20150051,FP2015,2015-08-17 05:39,2015-09-10 06:18,,NeAn0015,NetAnalytics,Analytics,Technology,213882.3,179586.21,16471.19,EMP098,"[""'EMP098'"", ""'EMP085'"", ""'EMP110'""]","['EMP036', 'EMP100', 'EMP051', 'EMP110', 'EMP087', 'EMP098', 'EMP085']",0.8716,0,3,Negotiation,2015,Active
OPP20150052,FP2015,2015-01-30 13:53,2015-03-03 05:23,2015-06-24 18:02,InIn0014,InnovativeSystems,Insurance,Risk Management,187086.26,159568.19,9478.88,EMP023,"[""'EMP023'"", ""'EMP108'"", ""'EMP069'""]","['EMP087', 'EMP067', 'EMP108', 'EMP069', 'EMP081', 'EMP023', 'EMP034']",0.481,0,4,Closed-Won,2015,Inactive
OPP20150053,FP2015,2015-05-21 00:05,2015-12-06 13:45,2015-12-22 04:30,SeTr0042,SecureHoldings,Treasury,Finance,961545.19,838386.8,87078.68,EMP069,"[""'EMP069'"", ""'EMP061'"", ""'EMP025'"", ""'EMP116'"", ""'EMP002'""]","['EMP116', 'EMP045', 'EMP061', 'EMP025', 'EMP073', 'EMP033', 'EMP069', 'EMP090', 'EMP024', 'EMP002']",0.6973,0,4,Closed-Lost,2015,Inactive
OPP20150054,FP2015,2015-03-14 01:29,2015-11-04 17:06,,WeWe0033,WebServices,Wealth Management,Investment,223361.21,162955.79,25105.3,EMP023,"[""'EMP023'"", ""'EMP092'"", ""'EMP108'"", ""'EMP048'"", ""'EMP110'""]","['EMP110', 'EMP090', 'EMP014', 'EMP092', 'EMP047', 'EMP008', 'EMP023', 'EMP108', 'EMP053', 'EMP048']",0.8955,0,2,Proposal,2015,Active
OPP20150055,FP2015,2015-09-08 17:12,2015-10-13 11:14,,CrCo0052,CreativeDynamics,Compliance,Legal,219444.72,171333.34,16293.4,EMP036,"[""'EMP036'"", ""'EMP048'"", ""'EMP002'"", ""'EMP116'"", ""'EMP110'""]","['EMP016', 'EMP131', 'EMP116', 'EMP040', 'EMP097', 'EMP110', 'EMP089', 'EMP036', 'EMP048', 'EMP002']",0.6274,0,3,Negotiation,2015,Active
OPP20150056,FP2015,2015-01-26 22:08,2015-12-19 14:25,,SmTr0013,SmartDynamics,Treasury,Finance,202097.61,177433.36,11155.09,EMP036,"[""'EMP036'"", ""'EMP009'"", ""'EMP098'""]","['EMP042', 'EMP096', 'EMP024', 'EMP036', 'EMP009', 'EMP065', 'EMP098', 'EMP001']",0.7375,0,1,Qualifying,2015,Active
OPP20150057,FP2015,2015-03-30 08:50,2015-12-27 05:31,2015-12-28 04:14,NeAs0071,NetSolutions,Asset Management,Investment,176893.26,149908.35,22348.4,EMP083,"[""'EMP083'"", ""'EMP055'"", ""'EMP023'""]","['EMP019', 'EMP023', 'EMP083', 'EMP055', 'EMP094', 'EMP084']",0.5727,0,4,Closed-Won,2015,Inactive
OPP20150058,FP2015,2015-08-10 07:50,2015-08-22 08:35,2015-09-27 14:17,TeAn0055,TechAnalytics,Analytics,Technology,209074.04,160766.15,19452.53,EMP023,"[""'EMP023'"", ""'EMP061'"", ""'EMP069'""]","['EMP084', 'EMP058', 'EMP069', 'EMP008', 'EMP061', 'EMP016', 'EMP034', 'EMP023']",0.6852,0,4,Closed-Won,2015,Inactive
OPP20150059,FP2015,2015-03-13 03:19,2015-05-02 07:59,,TeVe0038,TechVentures,Venture Capital,Investment,181263.24,144930.0,19716.49,EMP023,"[""'EMP023'"", ""'EMP069'"", ""'EMP092'""]","['EMP094', 'EMP099', 'EMP042', 'EMP092', 'EMP067', 'EMP023', 'EMP069']",0.3723,0,2,Proposal,2015,Active
OPP20150060,FP2015,2015-06-06 18:46,2015-06-11 23:07,,InAn0068,InfoAnalytics,Analytics,Technology,192500.44,150357.23,16150.57,EMP085,"[""'EMP085'"", ""'EMP050'"", ""'EMP114'"", ""'EMP083'""]","['EMP083', 'EMP114', 'EMP085', 'EMP013', 'EMP031', 'EMP093', 'EMP050', 'EMP076']",0.3521,0,3,Negotiation,2015,Active
OPP20150061,FP2015,2015-02-27 04:46,2015-10-21 00:34,,WeTr0073,WebSolutions,Treasury,Finance,185767.16,152563.44,30422.78,EMP036,"[""'EMP036'"", ""'EMP061'"", ""'EMP083'""]","['EMP083', 'EMP100', 'EMP009', 'EMP038', 'EMP086', 'EMP020', 'EMP061', 'EMP036']",0.3791,0,3,Negotiation,2015,Active
OPP20150062,FP2015,2015-01-13 13:37,2015-10-27 15:10,,SmAs0024,SmartConcepts,Asset Management,Investment,185083.48,133901.26,14002.95,EMP036,"[""'EMP036'"", ""'EMP069'"", ""'EMP123'""]","['EMP096', 'EMP036', 'EMP069', 'EMP051', 'EMP095', 'EMP099', 'EMP078', 'EMP123']",0.4796,0,2,Proposal,2015,Active
OPP20150063,FP2015,2015-10-10 16:42,2015-11-12 09:10,,CrTr0074,CreativeSystems,Treasury,Finance,187958.99,158006.51,10275.96,EMP036,"[""'EMP036'"", ""'EMP059'"", ""'EMP027'"", ""'EMP114'"", ""'EMP083'""]","['EMP059', 'EMP083', 'EMP072', 'EMP078', 'EMP114', 'EMP036', 'EMP081', 'EMP027', 'EMP054']",0.8998,0,3,Negotiation,2015,Active
OPP20150064,FP2015,2015-05-27 07:48,2015-10-26 03:18,2015-12-23 22:51,NeVe0093,NetVentures,Venture Capital,Investment,182996.86,131758.25,21899.82,EMP098,"[""'EMP098'"", ""'EMP085'"", ""'EMP072'""]","['EMP098', 'EMP040', 'EMP100', 'EMP099', 'EMP075', 'EMP033', 'EMP085', 'EMP072']",0.9392,0,4,Closed-Won,2015,Inactive
